阿鼻地獄　極端痛苦	"Avici Hell; 
Extreme sufferings."
法性湛然	Dharma Nature is Pure
法眼淨	Pure Dharma Eye
法依止	Rely on the Dharma
法音宣流	Sound of the Dharma Spreads
法音宣流	Voice of the Dharma Spreads
法雨生春	Dharma Rain Brings Spring
發人深省　有所醒悟	"Food for Thought; 
A realization."
發心	Resolve
發心向前	Resolve to Move Forward
"返本還源便到家，
亦無玄妙可稱誇；
湛然一片真如性，
迷失皆因一念差。"	"To be home is to return to the origin and back to the source,
There is nothing mysterious that one can boast about;
Clearly and as such is the nature if true thusness,
To be astray or not? It is all in a moment of thought."
返璞歸真　回歸自然	"Back to Simplicity; 
To recover one's true nature."
反觀自性	Reflect on One's Nature
凡夫肉眼　見識平庸	"Through the Ordinary Eye; 
Mundane knowledge."
凡夫俗子　普羅大眾	"Common People; 
The great multitude."
凡聖一如　佛性平等	"The Ordinary and the Sagely are the Same; 
All are equal in Buddha-nature."
方便般若	Prajna Wisdom as a Skillful Means
方便善巧	Skillful and Expedient Means
方便之門　出入自由	"Gate of Skillful Means; 
Entering and leaving freely."
方外之交　僧信友誼	"Affinities Outside the Monastery; 
Friendship between Sangha and devotees.
"
方丈和尚　如同校長	"Abbot; 
Like a school headmaster."
放光動地　不同凡響	"Emitting Light and Shaking the Earth; 
Extraordinary."
放快腳步	Speed Up the Pace
放下	Let Go
放下屠刀　改過向善	"Put Down the Butcher's Knife; 
Correct one's mistakes and turn towards wholesomeness."
放眼天下	Set One's Eyes on the World
防心離過　警防犯錯	"Guard the Mind from Unwholesomeness; 
Be alert to prevent errors."
防意如城　戒備森嚴	"Guard the Mind as if Defending a City; 
Strict vigilance."
飛蛾投火　自尋死路	"Like Moths to a Flame; 
To follow the path to one's destruction."
飛來飛去飛到那裏	Flying: here and there, where to?
飛針走線　功力非凡	"Swift Needlework; 
Extraordinary skills."
非佛不做　行佛所行	"Do But What is in Accord with the Buddha; 
Practice the Buddha's way."
非親非故　也有因緣	"Neither Relative nor Friend; 
There is still affinity."
分段生死　六道輪迴	"Fragmentary Birth and Death; 
The Six Realms of cyclic existence."
分工合作	Cooperation and Teamwork
粉身碎骨　自我犧牲	"Torn to Pieces and Ground to Dust; 
Self-sacrifice."
芬陀利華　白色蓮花	"Pundarika Flower; 
A white lotus."
焚香頂禮　恭敬虔誠	"Burn Incense and Prostrate; 
Sincere respect."
逢場作戲　隨順眾生	"Play Along for a Little Fun; 
Oblige sentient beings."
豐干饒舌　貧嘴多舌	"Master Fenggan Talks Too Much; 
Sharp-tongued and garrulous."
鳳凰于飛春花秋月	Songs of the Phoenix: spring and autumn
風調雨順　世界安然	"Favorable Weather; 
World at peace."
風木含悲　父母雙亡	"A Grieving Tree in the Wind; 
The passing of one's mother and father."
風行草偃　機緣成熟	"Grass Bends as Wind Blows; 
Opportunity at hand."
風雨無阻萬里徒步	Rain, Hail, or Shine: thousands of miles by foot
風月、禪心	The Chan Mind of Wind and Moon
風月、禪心	The Chan Mind of Wind and Moon
奉獻給您我的真心	Dedication: offered with my utmost sincerity
佛	Buddha
"佛成道日
今晚明星上，當初夢醒時。
雪山仍在眼，覺樹正垂枝。
遙想耽飢瘦，因思獻乳麋。
六年寒徹骨，心苦有誰知。"	"Buddha’s Enlightenment Day
Gazing upon the stars tonight, 
Having awakened from the dream.
The snow mountain still before my eyes,
Also the bodhi tree’s dangling branches.
Recalling time wasted on starving the body to skin and bone,
Due to contemplation of the offered milk porridge.
Chilled to the bone for over six years,
Who knows the pains of my mind?"
佛慈廣大　悲心無限	"The Buddha’s Kindness Is Vast and Great; 
Boundless compassion."
佛誕浴佛歌自我淨心	Bathing the Buddha Celebration: purify our mind
佛道	Buddhahood
佛法為家	Home is Where the Dharma Is
"佛法在世間，不離世間覺，
離世求菩提，猶如覓兔角。"	"The Dharma is to be found in this world,
and to leave this world to search for the Dharma
is as futile as searching for a rabbit with horns."
佛光法水	Buddha's Light and Dharma Stream
佛光淨土	Buddha's Light Pureland
佛光山開山祖師	1. Fo Guang Shan Founding Master; 2. Founding Master of Fo Guang Shan
佛光山開山祖師星雲大師出家紀念日信徒香會	Fo Guang Shan Founding Master—Venerable Master Hsing Yun’s Renunciation Day & Devotees’ Gathering
佛光山開山祖師星雲大師圓寂紀念日	Fo Guang Shan Founding Master—Venerable Master Hsing Yun Memorial Day
佛光山○○○○年開山祖師星雲大師圓寂紀念日	Fo Guang Shan Founding Master—Venerable Master Hsing Yun Memorial Day
佛光山開山祖師星雲大師圓寂周年紀念追思典禮	Memorial Service for the First Anniversary of Fo Guang Shan Founding Master—Venerable Master Hsing Yun's Passing Away
佛光山開山祖師星雲大師誕辰紀念日供僧法會	Fo Guang Shan Founding Master—Venerable Master Hsing Yun’s Birthday & Sangha Day Offering
佛光山教團依止之剃度師及得戒和尚代表	Tonsure and Precept Master of Fo Guang Shan Buddhist Order
佛光普照	Buddha's Light Shines Universally
佛光普照　蒙佛庇佑	"Buddha's Light Shines Universally; 
To receive the Buddha's blessings."
佛光普照三千界  法水長流五大洲	"May the Buddha's Light Shine Universally On the Three Thousand Realms
Let the Dharma Stream Flow Across All Five Continents"
佛光三寶頌佛教教歌	Fo Guang Ode to the Triple Gem: Buddhist Anthem
佛光世界	A World of Buddha's Light
佛光星公祈願文	Prayer for the Most Venerable Master Hsing Yun
"佛光讚
星公大和尚
揚州願力渡洋
人間佛教弘十方
立菩薩榜樣
眾等稽首遙祝禱
乘願倒駕慈航
普利人天皆吉祥
法水永流長"	"Praise of the Buddha's Light
Our most esteemed Venerable Master Hsing Yun.
Crossing the ocean from Yangzhou on the wings of his vows;
Propagating Humanistic Buddhism to the Ten Directions.
Setting an exemplar for bodhisattvas,
The assembly bows in reverence and prays to the far distance.
Praying for his return on his vow, on the boat of compassion.
Benefitting heavenly and human beings with auspiciousness.
May the Dharma flow eternally, like an unending river."
佛國淨土	Buddha's Light Pureland
"佛國美景絕塵埃，
煙霧重重却又開；
若見人我關係處，
一花一葉一如來。"	"In the beautiful Buddha-land alights no particle of dust,
Layers and layers of mist dissipate and once again rise;
Shall one see well the ways of human bonds,
In each flower and every leaf, Tathagata can be thus seen."
佛口婆心	Words of the Buddha and Heart of a Caring Mother
佛口蛇心　口蜜腹劍	"Words of a Buddha, Heart of a Snake; 
A wolf in sheep's clothing."
佛門龍象　傑出僧才	"The ""Elephants and Nagas"" of Buddhism; 
Outstanding monastic talent."
佛面刮金　膽大妄為	"Scrape Gold Off the Face of the Buddha Statue; 
Unscrupulous and reckless."
佛青的歌聲興隆快到	The Rhythm of the Buddhist Youth: prosperity is fast approaching
佛曲治病無貪無瞋	Buddha’s Song: healing illness, freedom from greed and hatred
佛壽無量	Infinite Lifespan of Buddha
佛頭著糞　輕慢褻瀆	"Placing Manure on the Buddha's Head; 
Irreverence and blasphemous."
佛陀之子	Child of the Buddha
佛心	Buddha's Mind
佛眼相看　慈心對待	"Through the Buddha's Eyes; 
Treat others with compassion."
佛要金裝　人要衣裝	"Buddha Statues in Gold; 
Humans in clothes."
佛在我心	Buddha is in My Mind
佛在心中　信仰昇華	"The Buddha Is Within Our Heart; 
Our faith is sublime."
佛子	Child of the Buddha
佛子天然	A Child of the Buddha as Have Been
福從心生	Fortune Arises From the Mind
福德具足	Complete in Merit and Virtue
福德深廣	Vast and Profound Merits and Virtues
福慧吉祥	Fortune, Wisdom, and Auspicious Blessings
福慧人生	A Life of Fortune and Wisdom
福慧仁心	A Benevolent Mind with Merit and Wisdom
福慧雙修	Cultivating Merit and Wisdom Simultaneously
福慧雙修　行解並重	"Cultivating Merit and Wisdom Simultaneously; 
Equal emphasis on theory and practice."
福慧雙圓	Perfection of Both Merit and Wisdom
福慧圓滿	Perfection of Merit and Wisdom
福慧增上	Gain in Merit and Wisdom
福慧之家	Home of Virtue and Wisdom
福聚海無量	Accumulation of Merits as Boundless as the Ocean
福滿人間	A World Filled With Good Fortune
福門之家	Home of Fortunes
福山慧海	Mountain of Merits and Ocean of Wisdom
福山慧海	Inspiration Has Come To The Mind
福田	The Field of Merits
服務第一	Service Comes First
服務人生	Live a Life of Service
福星高照	A Prosperous Star Shining High Above
福由心生	Merit Comes From the Heart
福至心靈	Fortunate Blessings Have Come to the Mind
拂袖而去　生氣離開	"To Storm Off in a Huff; 
Leaving in anger."
富有三千	A Wealth as Immense as the Three Thousand Realms
富足人生	A Plentiful Life
蓋天蓋地　無所不在	"Covering Heavens and Earth; 
Omnipresent."
改頭換面　徹底改變	"Revamp and Makeover; 
Complete transformation."
改邪歸正　重新做人	"To Mend One's Ways; 
Be a new person."
乾脆俐落　做事果斷	"Fast and Efficient; 
Be firm in handling matters."
橄欖樹夢想流浪遠方	The Olive Tree: dreaming of wandering faraway
甘露法水	Dharma Nectar
甘露法雨　如來教法	"Rain of Dharma Nectar; 
Tathagata's teachings."
甘露灌頂　法水加持	"Bestowal of Dharma Nectar; 
Blessed by Dharma water."
感恩的心必然好人	Grateful Heart: indeed a kind person
感天動地　令人動容	"Moving Heaven and Earth; 
Emotionally touching."
感應道交　心誠則靈	"Resonating with the Buddha; 
Sincerity brings inconceivable connection."
高山流水	Water Flowing from the High Mountains
高山青男女又壯又美	The Evergreen Mountain: young men and women, beautiful and strong
高山仰止	Look up to and Rely on the High Mountains
高山雲飛	A Cloud That Floats Above the High Mountains
羔羊跪乳　反哺報恩	"Lamb Kneeling To Drink Milk; 
To show one's gratitude."
革凡成聖　去迷入道	"Removing the Mundane to Attain Sagehood; 
Eliminating delusions to enter the Way."
哥哥爸爸真偉大我也會大	Brother and Father Are Really Great: I will grow up
割肉喂鷹　捨己為牠	"Feed One's Own Flesh to an Eagle; 
To sacrifice oneself."
各顯神通　皆有所長	"Each Demonstrating Their Own Supernatural Power; 
Everyone has their own expertise."
隔靴搔癢　未切要點	"An Itch One Can't Reach; 
Not getting to the point."
"給人信心
給人歡喜
給人希望
給人方便"	"Give Others Faith
Give Others Joy
Give Others Hope
Give Others Convenience"
根不入塵	Let the Sense Organs Not Become Incorporated into External Objects
根塵不合	Let the Sense Organs Not Become Incorporated into External Objects
根深葉茂　牢不可破	"Deep Roots and Vigorous Leaves; 
An unshakable foundation."
亘古亘今　從未變動	"From Past to Present; 
Remaining unchanged."
更待何時　為時不晚	"What Are You Waiting For?; 
It's not too late."
功不唐捐　所作不虛	"No Merit Goes Undedicated; 
What has been done is true."
功德無量	Boundless Merits
功德無量　果報殊勝	"Boundless Merit; 
Wonderful karmic retribution."
功德圓滿　成就殊勝	"Merits Accomplished; 
Phenomenal achievements."
功果圓滿	Perfect Fruit of One's Efforts
貢高我慢　性高氣傲	"Full of Oneself; 
Stuck up and arrogant."
弓盡刀折　走投無路	"Shattered Bow and Broken Sabre; 
At the end of one's rope."
共生和諧	Harmonious Coexistence
共生吉祥	Auspicious Coexistence
共有共榮	Equal Sharing of Every Honor and Possession
公道	Justice
公正	Justice
狗急跳牆　走投無路	"A Cornered Dog Will Jump Over the Wall; 
To reach an impasse in a desperate situation."
古井無波　內心平靜	"No Waves in an Ancient Well; 
Calmness in mind."
古尊宿語錄	Records of the Sayings of Ancient Monastic Elders
骨瘦如柴　營養不足	"As Thin As a Match; 
Malnourished."
孤雲野鶴　悠閒自在	"Wild Crane, Drifting Cloud; 
Leisurely and carefree."
"觀潮
西湖煙雨浙江潮，
未到千般恨不消，
及至歸來無一事，
西湖煙雨浙江潮。"	"Observing the Tide
Misty rains of West Lake, and tides in Zhejiang,
Unless truly there, a thousand resentments will linger;
Having finally arrived, everything seemed purposeless,
Still the misty rains of West Lake, and still the tides in Zhejiang."
觀世音	Avalokitesvara
"觀書有感二首（其一）
半畝方塘一鑑開，
天光雲影共徘徊；
問渠那得清如許，
為有源頭活水來。"	"Thoughts on Reading
A half acre square pond, like a mirror;
Light from the heavens, and the shadows of the clouds, 
    together come and go.
How can a stream be as clear as this?
Because its original source comes from rushing water."
觀心	Observe the Mind
觀心自樂	Contemplation of the Mind Will Bring Joy
觀心自在	Remain Carefree in Observing the Mind
觀心自在　提放如如	"Remain Carefree in Observing the Mind; 
Pick up and let go in perfect ease."
觀音靈感歌救苦救難	Song of Avalokitesvara Bodhisattva: relieve us from sufferings and calamities
觀音送子　喜獲麟兒	"Guanyin Sends a Baby; 
Happily blessed with child."
觀照自己	Contemplate on Oneself
觀照自在	Contemplate with Peace and Ease
觀自在	Avalokitesvara
冠絕一時　首屈一指	"The Absolute Champion; 
First and foremost."
廣長舌相　辯說無礙	"A Broad and Long Tongue; 
Eloquence in teaching the Dharma."
